type,SN,height,depth
Solo Ti,72209,2.7,1431.3
MAVS Solo,202346,4.7,1429.3
Solo Ti,72213,6.4,1427.6
Solo Ti,207309,7.8,1426.2
Solo Ti,207301,8.6,1425.4
Solo Ti,72210,9.4,1424.6
Solo Ti,207307,10.2,1423.8
Solo Ti,72214,11.2,1422.8
MAVS Solo,202305,12.3,1421.7
Solo Ti,207308,14,1420
Solo Ti,72219,15.3,1418.7
Solo Ti,207304,16.3,1417.7
Solo Ti,207286,17.4,1416.6
Solo Ti,72147,18.5,1415.5
Solo Ti,207377,19.6,1414.4
Solo Ti,72149,20.7,1413.3
Solo Ti,207287,21.8,1412.2
Solo Ti,72211,22.9,1411.1
Solo Ti,207300,24,1410
Solo Ti,72217,25.1,1408.9
Solo Ti,207378,26.1,1407.9
MAVS Solo,201906,26.8,1407.2
Solo,102984,28.5,1405.5
Solo Ti,72212,29.8,1404.2
Solo Ti,207305,30.9,1403.1
Solo Ti,72197,32,1402
Solo Ti,207375,33.1,1400.9
Solo Ti,72183,34.2,1399.8
Solo Ti,207289,35.3,1398.7
Solo Ti,72144,36.4,1397.6
Solo Ti,207376,37.5,1396.5
Solo Ti,72159,38.6,1395.4
Solo Ti,72157,41.3,1392.7
Solo Ti,72148,42.9,1391.1
Solo Ti,207288,44.7,1389.3
Solo Ti,72188,46.5,1387.5
Solo Ti,72215,48.5,1385.5
Solo Ti,72168,53.7,1380.3
Solo Ti,207381,55.8,1378.2
Solo Ti,72158,57.9,1376.1
Solo Ti,207382,60,1374
Solo Ti,72185,63.5,1370.5
Solo Ti,207303,67.7,1366.3
Solo Ti,72161,70.7,1363.3
Solo Ti,207306,73.7,1360.3
MAVS Solo,202345,76.6,1357.4
Solo Ti,72154,81.7,1352.3
Solo Ti,207379,86.7,1347.3
Solo Ti,72163,92.2,1341.8
Solo Ti,207302,97.7,1336.3
Solo Ti,72167,104,1330
Solo Ti,207380,109.7,1324.3
Solo Ti,72156,115.7,1318.3
Solo Ti,72164,121.7,1312.3
MAVS Solo,202307,126.4,1307.6
Solo Ti,72176,132.7,1301.3
Solo,201844,138.7,1295.3
Solo,201847,144.7,1289.3
Solo,102980,156.7,1277.3
Solo,102985,162.7,1271.3
Solo,102975,168.8,1265.2
Solo,201845,174.8,1259.2
SBE56,477,180.8,1253.2
SBE56,6415,192.8,1241.2
MAVS Solo,202347,200.2,1233.8
Solo,102969,206.8,1227.2
SBE56,6414,212.8,1221.2
Solo,102981,218.8,1215.2
SBE56,416,224.8,1209.2
Solo,201851,230.8,1203.2
SBE56,6436,236.8,1197.2
Solo,102978,242.8,1191.2
SBE56,6429,248.8,1185.2
Solo,201843,254.8,1179.2
SBE56,6444,260.8,1173.2
Solo,102968,266.8,1167.2
SBE56,6431,272.8,1161.2
MAVS Solo,202351,277,1157
SBE56,6428,289.9,1144.1
SBE56,6441,301.9,1132.1
